Date;;;;;
;NVDA;NVDA;NVDA;NVDA;NVDA
25/01/2010;0.3837166428565979;0.3910517154557101;0.38073676192796196;0.3834874107369639;643676000
26/01/2010;0.3715677559375763;0.3844041480074854;0.37133852391567057;0.3818827050677609;714636000
27/01/2010;0.38165366649627686;0.38302900467421547;0.3672127249292148;0.3713387121377073;812504000
28/01/2010;0.36881715059280396;0.38600876304679355;0.36354505902161405;0.3846334253063737;687764000
29/01/2010;0.3527716398239136;0.3770690889123541;0.3472703166759;0.372943103382672;774700000
01/02/2010;0.37981975078582764;0.380507419620272;0.3511670830696108;0.35414696313532745;949832000
02/02/2010;0.3837166428565979;0.38853029876634215;0.37729844408537927;0.37844455003290683;849812000
03/02/2010;0.38692569732666016;0.3885302673838509;0.37844451946506485;0.38027829429805493;562296000
04/02/2010;0.3644619584083557;0.38348731800164443;0.3603359725299426;0.38348731800164443;783480000
05/02/2010;0.3717970550060272;0.37271395600107404;0.35758532184799197;0.36400354683737013;604856000
08/02/2010;0.3711095154285431;0.38004915978794374;0.36377444153836314;0.3706510784339055;445160000
09/02/2010;0.3681294918060303;0.37890290730867965;0.36446196993997804;0.37706913271299575;930144000
10/02/2010;0.3752354383468628;0.3786737562019277;0.36790036572112195;0.3704218097449647;535828000
11/02/2010;0.392426997423172;0.396552983709502;0.37844449593208634;0.3811951443478672;695980000
12/02/2010;0.3976990282535553;0.4057217675039709;0.3853210713005834;0.3896762890031397;780212000
16/02/2010;0.4050341546535492;0.4066387245856472;0.3981575200599299;0.40297117520559017;457024000
17/02/2010;0.4089309275150299;0.4103062380096341;0.3972406380216545;0.4100770332565249;876560000
18/02/2010;0.3821120858192444;0.38853028435235587;0.37156790056303834;0.3864672773281485;1515508000
19/02/2010;0.3800490200519562;0.384633442963389;0.3782152454223198;0.3805074568780363;510548000
22/02/2010;0.38073667883872986;0.3873841082788953;0.37821523537430235;0.3816535524665315;458084000
23/02/2010;0.3715677559375763;0.3834872472451722;0.3676709755170367;0.3818827050677609;489764000
24/02/2010;0.37936127185821533;0.3830288203509176;0.3736307444166869;0.3747768499049926;445868000
25/02/2010;0.3759230673313141;0.376839968390169;0.36125289631750157;0.3706509750501833;576972000
26/02/2010;0.3713386058807373;0.37683992969298796;0.3690463944569618;0.37408925412420485;393396000
01/03/2010;0.3862379789352417;0.3880717535336277;0.3685879564920717;0.3715678367987845;555868000
02/03/2010;0.38600876927375793;0.39448994594232345;0.38325812107386037;0.3896763184238315;538648000
03/03/2010;0.3811951279640198;0.390363973839422;0.3779860428377555;0.388300994447583;399300000
04/03/2010;0.3818826973438263;0.38577945036024086;0.3770690435836436;0.3827995707622854;557396000
05/03/2010;0.3935730755329132;0.3963237237552833;0.379132138208826;0.379132138208826;632832000
08/03/2010;0.3878425061702728;0.3949483717112192;0.386237936494676;0.3938022661288286;439312000
09/03/2010;0.40228351950645447;0.40618027377254995;0.39151010309534884;0.39173933518613235;830832000
10/03/2010;0.40320050716400146;0.4075557268424554;0.4009082949096548;0.40113752706521966;418520000
11/03/2010;0.3940315544605255;0.4013666536045255;0.39242701176976985;0.39999131568369595;540660000
12/03/2010;0.39540690183639526;0.399532888372227;0.3933438949058199;0.3983867825192359;520352000
15/03/2010;0.39334383606910706;0.3988451597357629;0.389676314283318;0.3949484058835368;358904000
16/03/2010;0.4070972204208374;0.40938943228421704;0.3928854850076272;0.3931147171240935;664988000
17/03/2010;0.41489067673683167;0.4203920009001863;0.4093893798987943;0.4093893798987943;651168000
18/03/2010;0.4002205729484558;0.41557838651207324;0.39655302314580687;0.41557838651207324;740964000
19/03/2010;0.39540690183639526;0.4073263972424389;0.3903640142229792;0.40618029138944783;584612000
22/03/2010;0.40182510018348694;0.4034296429130311;0.3903640143252542;0.3903640143252542;435336000
23/03/2010;0.4100770950317383;0.41214007474707604;0.4020543263073837;0.4048050023615946;493612000
24/03/2010;0.39632368087768555;0.407784763994017;0.3956360120651619;0.4066386584149151;436252000
25/03/2010;0.3974698483943939;0.4045757150222557;0.3965529747183612;0.40205427142519073;495184000
26/03/2010;0.3974698483943939;0.40503415186027203;0.39426076320296277;0.40090816566749155;344676000
29/03/2010;0.4025127589702606;0.40342963269955395;0.3944899908750114;0.39999131522672643;394456000
30/03/2010;0.4041173458099365;0.40916020652263074;0.3972407101129931;0.4070972267436762;324104000
31/03/2010;0.3988451659679413;0.4043464897205584;0.39678215931371663;0.4025127151363527;389840000
01/04/2010;0.3947192132472992;0.40526339750104073;0.39059322691647347;0.4006789743168605;339664000
05/04/2010;0.40067893266677856;0.4013666015379868;0.39678215150503693;0.39724061563605223;413636000
06/04/2010;0.3908224105834961;0.39655293885371745;0.38394574933391623;0.3956360379352935;809260000
07/04/2010;0.39334383606910706;0.39999126541731855;0.38509186423178066;0.3883009765353253;817468000
08/04/2010;0.38692569732666016;0.3938023597817028;0.3848627177178707;0.3908224790937588;1037600000
09/04/2010;0.3894471526145935;0.3908224906111967;0.38394582795350063;0.3860088349484054;817572000
12/04/2010;0.39655303955078125;0.3981575824088234;0.38921793964203816;0.389905608674148;546460000
13/04/2010;0.4048048257827759;0.4061801358846406;0.3965528558703535;0.39815739798518324;648696000
14/04/2010;0.40984785556793213;0.4155783850358906;0.40342965709875467;0.41351540535755354;900720000
15/04/2010;0.41282767057418823;0.4153491140684378;0.40709714201936253;0.41122312804390015;957596000
16/04/2010;0.39105162024497986;0.3976990495173592;0.3823412116994603;0.3960945070465485;1917736000
19/04/2010;0.38921788334846497;0.39036398912777676;0.3761522829293742;0.38807177756915323;1094492000
20/04/2010;0.39059317111968994;0.39609449455002493;0.38555031180253474;0.3919685088086021;678188000
21/04/2010;0.3805074691772461;0.3931146599165069;0.3759230461176301;0.39265622307560866;895908000
22/04/2010;0.3821120858192444;0.38325819172425285;0.3690464566418916;0.37431854926999464;656932000
23/04/2010;0.37683993577957153;0.381882795528265;0.37019250614806626;0.380965894548756;752916000
26/04/2010;0.3805074691772461;0.3850918922368621;0.37661071504163585;0.37729838396564164;491092000
27/04/2010;0.3697340786457062;0.3816535730774062;0.368587972886402;0.3777568189608354;606704000
28/04/2010;0.37042170763015747;0.3756937990196212;0.36285737764390136;0.36950480672637775;672164000
29/04/2010;0.38165366649627686;0.38211213077247197;0.36606661888937375;0.37156794427580486;987128000
30/04/2010;0.3601067066192627;0.3777567541443598;0.35987750190191947;0.3770690853417059;1068048000
03/05/2010;0.35620999336242676;0.3640035284629939;0.35070866964579434;0.36194052182226355;1078972000
04/05/2010;0.33810144662857056;0.35139627574518595;0.33305856062462974;0.35070860698780215;1311376000
05/05/2010;0.3323710262775421;0.3408522041502903;0.3282450397292184;0.33122492042108104;1330840000
06/05/2010;0.32549431920051575;0.3369554035195651;0.2989046560449266;0.3300787693233247;1002888000
07/05/2010;0.3199929893016815;0.3284741651248321;0.30853190618148657;0.3284741651248321;1153712000
10/05/2010;0.3337462544441223;0.34337356311982103;0.33007873300485296;0.3392475775909948;979156000
11/05/2010;0.33007875084877014;0.33672615260295374;0.3275573075211481;0.33053718763779766;829124000
12/05/2010;0.33649706840515137;0.33833081621811434;0.3303080738977689;0.33237108117533753;901236000
13/05/2010;0.33580929040908813;0.35047945943249537;0.3326001781264766;0.3351216215395775;1252000000
14/05/2010;0.2970709800720215;0.3140333664485124;0.28881900536720706;0.31311649251478824;2493068000
17/05/2010;0.2977585792541504;0.3014261287783441;0.28836050067672764;0.29752934716189405;856060000
18/05/2010;0.2879020869731903;0.3021137947031672;0.286297516848978;0.30028001979358176;674112000
19/05/2010;0.2924864590167999;0.2929448958320402;0.28446371911149176;0.2865266984427306;826520000
20/05/2010;0.2856096923351288;0.292486323350024;0.2752947184874833;0.28400512323807775;1129136000
21/05/2010;0.29179877042770386;0.2998215097912802;0.2773578341082037;0.2773578341082037;1069600000
24/05/2010;0.28331759572029114;0.2943202436121199;0.2824007220586302;0.290881926392917;664564000
25/05/2010;0.2908819317817688;0.2922572422997391;0.2716273112770173;0.27437798696359134;966652000
26/05/2010;0.29225724935531616;0.3083027577215355;0.2913403756545344;0.3025722287783562;995028000
27/05/2010;0.30944883823394775;0.30944883823394775;0.2989046549096349;0.29959232379171014;713560000
28/05/2010;0.3011969029903412;0.30899043906104734;0.2966124796518029;0.30899043906104734;545116000
01/06/2010;0.28836047649383545;0.300509202532911;0.2881312444208033;0.2970708853893226;527492000
02/06/2010;0.2915695607662201;0.29202802491102936;0.28698513792065206;0.2888189125239424;649088000
03/06/2010;0.29111120104789734;0.2917988701219257;0.2846930018991708;0.2856099031063162;586360000
04/06/2010;0.27735787630081177;0.2876728284802693;0.27575330632375317;0.2826299684353758;671456000
07/06/2010;0.26360461115837097;0.28033779061121283;0.2624585052225863;0.2785040156488931;577248000
08/06/2010;0.2562694847583771;0.262458450045432;0.24962205533313533;0.262458450045432;967636000
