Date;;;;;
;005930.KS;005930.KS;005930.KS;005930.KS;005930.KS
25/01/2010;12411.603515625;12500.047246140142;12013.606728306859;12028.347350059383;20578400
26/01/2010;12013.6015625;12470.560640337424;11969.379716257668;12470.560640337424;18722300
27/01/2010;11792.4921875;12043.082646484376;11792.4921875;12013.601416015626;18516150
28/01/2010;11910.41796875;12013.602282835705;11836.71488726021;11910.41796875;13795800
29/01/2010;11556.642578125;11807.233042191487;11497.68011599171;11792.492426658164;22854100
01/02/2010;11453.4580078125;11571.382929385858;11276.570625452461;11556.642314189188;25037200
02/02/2010;11379.75390625;11645.08495587759;11350.2726785136;11645.08495587759;19677150
03/02/2010;11453.4580078125;11571.382929385858;11320.79247104247;11527.161083795849;16467700
04/02/2010;11438.7158203125;11541.90011250604;11379.753367630476;11423.975207141993;11971700
05/02/2010;11055.4638671875;11217.610670572916;11011.24201171875;11173.388815104166;25705750
08/02/2010;11025.986328125;11114.430068724934;10922.801964091745;11011.245704691679;21891500
09/02/2010;11217.611328125;11217.611328125;10937.539560405716;11025.983276527595;16834200
10/02/2010;11129.1640625;11261.82959437086;11084.942218543047;11247.088979718543;13174200
11/02/2010;11247.0908203125;11276.57205444176;11143.906500860092;11158.647117924722;13208300
12/02/2010;11055.4638671875;11306.054381510416;10981.760774739583;11306.054381510416;22879300
16/02/2010;11143.908203125;11188.130061073909;11025.983248594577;11055.464487227182;7723550
17/02/2010;11482.9375;11482.9375;11261.828305519897;11379.753209242619;13997150
18/02/2010;11423.978515625;11512.422220262097;11379.75666330645;11482.940985383064;7251900
19/02/2010;11202.8701171875;11453.460632966695;11188.129498612254;11335.53568436472;11094000
22/02/2010;11394.494140625;11468.197207511319;11350.272300493209;11379.753527247736;11580550
23/02/2010;11306.0556640625;11409.240005194753;11143.908842283246;11409.240005194753;12568850
24/02/2010;11084.947265625;11217.612857899767;11055.466022897273;11188.13161517204;15052500
25/02/2010;10849.0947265625;11173.388318932575;10819.613490892494;11114.425847592562;19273900
26/02/2010;10967.0185546875;11025.981020035282;10804.871774981098;10908.056089339718;15576350
02/03/2010;11350.2744140625;11409.236878551137;11143.905788352273;11217.608868963069;23494700
03/03/2010;11365.015625;11394.49685878729;11247.090689850844;11365.015625;9713550
04/03/2010;11217.611328125;11379.758141015112;11143.908231356767;11365.017521661466;10205050
05/03/2010;11423.978515625;11423.978515625;11247.091106350807;11247.091106350807;11754700
08/03/2010;11586.1220703125;11674.56575023855;11571.381456991492;11645.084523596532;19563300
09/03/2010;11586.1220703125;11600.862683633508;11453.456550423425;11600.862683633508;12211750
10/03/2010;11556.642578125;11600.864424724969;11468.198884925065;11586.123809191646;11367600
11/03/2010;11468.197265625;11704.047080856362;11468.197265625;11645.084627048522;19631000
12/03/2010;11468.197265625;11556.64094633676;11365.01297146128;11468.197265625;9997950
15/03/2010;11320.7919921875;11541.901210784912;11261.829533894856;11527.16059621175;11156550
16/03/2010;11276.5703125;11350.273386437908;11173.386008986927;11320.792156862744;16548150
17/03/2010;11763.0126953125;11763.0126953125;11365.016025170347;11379.75664258302;21840650
18/03/2010;11748.2705078125;11895.676662239257;11718.78927692715;11718.78927692715;15393500
19/03/2010;11851.458984375;11895.680846256997;11763.015260611008;11807.237122493005;10711200
22/03/2010;11807.2333984375;11851.455246371723;11674.567854634832;11836.71463039365;9191800
23/03/2010;11925.16015625;12013.603865690668;11866.197683289556;11895.678919769778;9923300
24/03/2010;12072.564453125;12161.00814875229;11984.12075749771;12013.601989373474;15926950
25/03/2010;12072.564453125;12116.786300938644;11925.158293746184;12013.601989373474;9481650
26/03/2010;12087.3095703125;12161.01267744855;11969.384598894816;12131.531434594131;10481650
29/03/2010;12057.8251953125;12161.00951849977;11939.900254527047;11939.900254527047;7756350
30/03/2010;11998.86328125;12219.972555474507;11969.382044686732;12190.49131891124;12042400
31/03/2010;12057.8251953125;12293.675076883404;11984.122107321593;11998.862724919774;21699800
01/04/2010;12455.8193359375;12455.8193359375;12146.266429363905;12175.74765856139;28068050
02/04/2010;12632.708984375;12676.930836128939;12396.859108353998;12470.56219461056;20907050
05/04/2010;12824.3349609375;12824.3349609375;12632.706967268317;12691.669426858836;15201700
06/04/2010;12809.595703125;12898.039401880755;12691.670771450663;12883.298785421463;16494250
07/04/2010;12662.1904296875;12809.596604654758;12559.006107210418;12750.634134667855;19418550
08/04/2010;12721.15234375;12721.15234375;12573.746175224507;12632.708642634705;13447700
09/04/2010;12617.9716796875;12765.377890898802;12500.046710718458;12735.896648656542;13757650
12/04/2010;12234.712890625;12676.931428840362;12190.491036803463;12662.19081089985;24897000
13/04/2010;12205.2333984375;12293.677118716032;12013.605337834013;12293.677118716032;20446350
14/04/2010;12455.8193359375;12485.300565134985;12278.931960752589;12308.413189950074;15369350
15/04/2010;12603.224609375;12706.408904422515;12441.07786001462;12706.408904422515;18248400
16/04/2010;12500.04296875;12647.449135834317;12396.858651790979;12603.227285709021;11003100
19/04/2010;12190.4931640625;12382.121230728537;12175.752543549726;12337.89936919022;12357100
20/04/2010;12205.2333984375;12264.195878623188;12102.049058112545;12190.492778391077;13571500
21/04/2010;12559.0087890625;12573.749409706941;12308.418238107028;12352.640100040348;13200200
22/04/2010;12396.859375;12514.784315546967;12278.934434453031;12514.784315546967;17161750
23/04/2010;12234.712890625;12500.044013554218;12205.231654743977;12500.044013554218;15442000
26/04/2010;12293.673828125;12411.598756931953;12234.711363721523;12308.41444422587;13009350
27/04/2010;12308.4150390625;12352.636889502246;12190.490104556513;12249.452571809506;13040500
28/04/2010;12161.009765625;12161.009765625;12057.82544034091;12087.306676136364;16007500
29/04/2010;12161.009765625;12249.453473011365;12028.344204545454;12234.712855113636;11337150
30/04/2010;12514.78515625;12559.007011925794;12190.491547960835;12205.232166519434;22710850
03/05/2010;12219.9716796875;12455.821555290637;12190.490445237108;12455.821555290637;14553900
04/05/2010;12293.673828125;12426.339373032823;12234.711363721523;12382.117524730214;9138450
06/05/2010;11998.86328125;12072.56637265817;11939.900808123464;12043.085136094902;22570150
07/05/2010;11704.0537109375;11777.756819948441;11615.60998012437;11763.016198146253;37887000
10/05/2010;11836.716796875;11866.198034227116;11748.27308481865;11792.494940846824;16435550
11/05/2010;11659.8271484375;11969.380081581858;11659.8271484375;11969.380081581858;22498000
12/05/2010;11630.34765625;11763.013218868822;11527.163329768695;11748.272600800065;15759500
13/05/2010;11984.12109375;12087.305408210332;11748.271232126384;11763.01184847786;15900650
14/05/2010;11939.9013671875;11969.382605131172;11777.7545584973;11880.938891300153;14674300
17/05/2010;11556.642578125;11777.751811124841;11468.198884925065;11763.011195591518;26460950
18/05/2010;11674.56640625;11718.788248697916;11556.641493055555;11645.085177951389;18143800
19/05/2010;11394.494140625;11571.381501152167;11335.531687115945;11571.381501152167;17987050
20/05/2010;11143.908203125;11379.758112185846;11129.167583808698;11276.573776971725;19772500
24/05/2010;11173.3916015625;11261.8353345564;10967.022891243405;11011.244757740355;17704300
25/05/2010;10922.798828125;11143.908116143724;10849.095732118758;11055.464400936235;25489550
26/05/2010;11055.4638671875;11335.535618489583;10981.760774739583;11202.870052083334;22943950
27/05/2010;11379.75390625;11423.975747854598;10922.794876335816;10967.016717940414;22173500
28/05/2010;11468.197265625;11600.862786692642;11306.050517653439;11600.862786692642;22448950
31/05/2010;11438.7158203125;11512.41888616503;11320.790914948453;11379.753367630476;12774650
01/06/2010;11320.7919921875;11482.938752492268;11276.570148468018;11438.716908772785;11382350
03/06/2010;11453.4580078125;11556.642314189188;11409.23616222249;11497.67985340251;14649400
04/06/2010;11689.3115234375;11748.27400274866;11409.239746709489;11423.98036653728;12598850
07/06/2010;11600.86328125;11600.86328125;11453.457140446315;11482.938368607052;15161550
08/06/2010;11571.3857421875;11763.013786325639;11438.720173168791;11571.3857421875;14499800
09/06/2010;11350.2744140625;11674.56796875;11291.311949573865;11674.56796875;17914950
10/06/2010;11394.494140625;11497.678434265847;11365.012913870472;11453.456594134055;17769350
11/06/2010;11748.2705078125;11748.2705078125;11541.901891615042;11571.383122500392;18283050
14/06/2010;11895.67578125;11925.157009951983;11659.825951634139;11659.825951634139;12094650
15/06/2010;11763.0126953125;11939.900104264567;11763.0126953125;11939.900104264567;9528550
16/06/2010;12072.564453125;12116.786300938644;11925.158293746184;12013.601989373474;18823500
17/06/2010;12043.0859375;12043.0859375;11939.90160266218;11969.382841187271;11648800
18/06/2010;12116.7890625;12161.010920392337;11969.382869525549;12161.010920392337;9579500
21/06/2010;12234.712890625;12367.378452089608;12161.00980092244;12234.712890625;14230700
22/06/2010;12028.341796875;12190.48856129366;11984.119952033549;12190.48856129366;14794100
23/06/2010;11866.1953125;11954.639004270186;11792.492236024846;11954.639004270186;17489950
24/06/2010;12087.3095703125;12131.531434594131;11866.200248904344;11910.422113185976;14152200
25/06/2010;11866.1953125;11939.898388975156;11821.973466614907;11925.157773680125;16982600
28/06/2010;11733.5322265625;11910.419647063443;11733.5322265625;11866.197791938206;13026700
29/06/2010;11748.365234375;11926.370768229168;11674.196261935764;11881.869384765625;12560000
30/06/2010;11481.3564453125;11570.359208454458;11422.021269884528;11422.021269884528;26708450
01/07/2010;11362.6904296875;11570.363622919385;11273.68763258812;11555.529823402823;22206400
02/07/2010;11377.521484375;11481.358055940353;11318.18630062337;11422.022872188723;11641100
05/07/2010;11377.521484375;11422.022872188723;11288.518708747557;11318.18630062337;9995600
06/07/2010;11496.1904296875;11496.1904296875;11199.51454763105;11303.351106350807;17879550
07/07/2010;11407.1884765625;11585.194018459444;11347.853295930185;11570.360223301364;16180150
08/07/2010;11496.1904296875;11629.694576612905;11422.021459173387;11614.86078251008;14752850
09/07/2010;11807.7021484375;11807.7021484375;11466.524825053;11555.527605066349;18605950
12/07/2010;11896.703125;11896.703125;11748.365180798006;11852.201741739402;12597450
13/07/2010;11807.7021484375;11985.707708464197;11778.034555099717;11837.369741775283;15339650
14/07/2010;12223.0458984375;12282.38107270176;12059.874169210787;12059.874169210787;33184600
15/07/2010;12163.71484375;12237.883836699695;12134.047246570122;12237.883836699695;16063950
16/07/2010;11896.703125;12163.711424563591;11896.703125;12104.376246882794;16933400
19/07/2010;11792.86328125;11852.198442413523;11659.359168632076;11659.359168632076;14586800
20/07/2010;11837.369140625;11896.70432428728;11659.363589638158;11792.86775287829;11578400
21/07/2010;12119.2099609375;12134.043755259332;11956.038223397338;12119.2099609375;16558800
22/07/2010;11985.705078125;12119.209218846689;11881.868524230353;12045.040251779084;15439550
23/07/2010;12030.20703125;12119.209795969482;11970.871854770345;12089.542207729653;14112800
26/07/2010;12134.044921875;12163.712513371027;12000.54076014288;12059.875943134934;10617450
27/07/2010;12297.216796875;12312.050592769903;12178.546429715772;12223.047817400484;19088350
28/07/2010;12415.888671875;12460.390064964158;12326.885885696685;12341.71968339307;23248200
29/07/2010;12267.5498046875;12460.389160746674;12223.04841482769;12445.555364126738;14865300
30/07/2010;12015.375;12267.549537037037;12015.375;12193.380555555555;16399000
02/08/2010;12015.375;12134.04537037037;12015.375;12119.211574074074;12455050
03/08/2010;12089.541015625;12193.37756422546;12089.541015625;12163.709978911043;13105950
04/08/2010;11956.0400390625;12134.04559795673;11956.0400390625;12119.211801382213;10616650
05/08/2010;11926.3759765625;12134.049190084732;11911.542175596625;12030.212583323615;14028550
06/08/2010;11881.869140625;12015.37328827247;11852.201552258894;12015.37328827247;12296750
09/08/2010;11896.703125;11896.703125;11837.367947319202;11852.201741739402;9138150
10/08/2010;11763.2021484375;11926.373931076609;11733.534551594026;11867.03873738966;14060850
11/08/2010;11555.5234375;11703.861350689987;11525.855854862002;11629.692394094995;17957900
12/08/2010;11362.6904296875;11525.862224369695;11347.856630170936;11392.358028720626;21360650
13/08/2010;11585.193359375;11600.02715368918;11377.520238976473;11422.021621919013;14274900
16/08/2010;11600.0263671875;11614.860160495924;11377.51946756114;11466.522227411684;10280000
17/08/2010;11600.0263671875;11614.860160495924;11436.854640794836;11525.85740064538;14476450
18/08/2010;11540.689453125;11644.525990620983;11481.354288841581;11629.692199550129;11715900
19/08/2010;11703.86328125;11703.86328125;11525.857756059886;11555.525343591573;12179900
20/08/2010;11629.693359375;11659.360944475447;11525.856811523438;11570.358189174107;12330600
23/08/2010;11718.6962890625;11733.530081833465;11600.025946894779;11659.36111797864;9081550
24/08/2010;11614.859375;11659.360751915709;11496.18903655811;11644.526959610472;11365400
25/08/2010;11451.6884765625;11540.691236743038;11451.6884765625;11511.023650016192;9263250
26/08/2010;11466.51953125;11614.857429455045;11422.018161788486;11451.685741429495;10440100
27/08/2010;11362.6904296875;11451.69322678688;11347.856630170936;11347.856630170936;12748200
30/08/2010;11511.0224609375;11540.690044599709;11451.68729361308;11496.188669106396;6984450
31/08/2010;11214.3486328125;11451.689344618057;11214.3486328125;11362.686577690973;22051950
01/09/2010;11155.0166015625;11318.188386957696;11125.34900421792;11303.354588285407;19451700
02/09/2010;11258.8515625;11303.3529520751;11110.51359724967;11273.685359025034;18271500
03/09/2010;11288.517578125;11333.018961481604;11214.348605863996;11288.517578125;22082500
06/09/2010;11570.359375;11570.359375;11392.353846153846;11451.689022435898;19708650
07/09/2010;11689.03125;11718.698842005077;11496.191901967006;11614.86226998731;16036000
08/09/2010;11436.8544921875;11585.192423344277;11436.8544921875;11511.023457765888;10954600
09/09/2010;11214.3486328125;11481.35693359375;11214.3486328125;11377.52037217882;30825400
10/09/2010;11362.6904296875;11451.69322678688;11229.18623403843;11273.68763258812;13989000
13/09/2010;11422.01953125;11511.022280844156;11362.684364853896;11422.01953125;11741050
14/09/2010;11273.6865234375;11585.196282637748;11273.6865234375;11496.19349429482;18559950
15/09/2010;11229.1845703125;11377.522543500247;11140.181786399851;11318.187354225149;19441850
16/09/2010;11229.1845703125;11318.187354225149;11184.683178356176;11184.683178356176;11734100
17/09/2010;11466.51953125;11540.688480352523;11244.012683942432;11303.34784322445;22369300
20/09/2010;11570.359375;11570.359375;11422.021434294871;11481.356610576922;14807550
24/09/2010;11303.3505859375;11570.358867495079;11244.015412258039;11555.525074075214;32766800
27/09/2010;11199.5126953125;11392.351986754966;11155.011320364238;11347.850611806705;25107150
28/09/2010;11051.17578125;11214.347504194631;11051.17578125;11199.513711199665;23315700
29/09/2010;11451.6884765625;11496.189856652769;11125.345022567195;11169.846402657464;35348050
30/09/2010;11525.857421875;11555.525008546494;11377.519488517535;11451.688455196268;16855500
01/10/2010;11525.857421875;11540.691215210747;11407.18707518903;11451.688455196268;14805750
04/10/2010;11570.359375;11585.193169070513;11481.356610576922;11570.359375;12835350
05/10/2010;11466.51953125;11555.522270173027;11436.851951608991;11451.685741429495;14300150
06/10/2010;11763.2021484375;11778.035946859238;11511.02757526797;11540.695172111444;23555150
07/10/2010;11422.01953125;11614.858822037337;11407.185739650973;11555.523655641233;25542150
08/10/2010;11244.01953125;11362.689922081134;11169.85053698054;11318.18852551946;27125750
11/10/2010;11169.84765625;11318.185606532204;11169.84765625;11303.351811503984;18784450
12/10/2010;11066.009765625;11214.34769814008;11066.009765625;11155.012525134049;18391350
13/10/2010;11036.3427734375;11155.013125840054;11021.508979387181;11155.013125840054;20414700
14/10/2010;11125.3486328125;11169.85002734375;11006.678247395834;11169.85002734375;26710000
15/10/2010;11184.681640625;11214.349231183687;11051.177483110909;11125.346459507628;24686150
18/10/2010;11140.1796875;11303.351427263648;11095.678303928096;11229.182454643807;13804400
19/10/2010;10991.8427734375;11140.180732593202;10991.8427734375;11125.346936677632;19450000
20/10/2010;11051.17578125;11110.510953229867;10902.837851300335;10977.006816275169;18474100
21/10/2010;11347.8515625;11347.8515625;10991.840533088236;11051.175704656864;28370400
22/10/2010;11525.857421875;11525.857421875;11377.519488517535;11466.522248532014;20425550
25/10/2010;11436.8544921875;11555.524837112922;11377.51931972479;11466.522078418855;12353450
26/10/2010;11318.18359375;11436.853932871887;11244.01463179882;11392.35255570118;15629050
27/10/2010;11169.84765625;11347.853196588645;11140.18006619356;11244.016631391101;16732750
28/10/2010;11333.0205078125;11347.854304288694;11169.848746574362;11273.685321907722;14631600
29/10/2010;11051.17578125;11347.85164114933;11051.17578125;11333.017848154363;23060950
01/11/2010;11080.84375;11169.846511044178;11021.508575970549;11169.846511044178;14837800
02/11/2010;10977.0087890625;11095.679154349662;10932.507402079815;11080.845358688766;16536700
03/11/2010;10977.0087890625;11110.512950010558;10962.174993401604;10977.0087890625;17874950
04/11/2010;11318.18359375;11333.017386140236;11051.175330725753;11080.842915506226;27312500
05/11/2010;11511.0224609375;11718.69554657297;11496.188669106396;11570.35762826192;35165050
08/11/2010;11540.689453125;11689.027363833547;11511.02187098329;11644.525990620983;13961400
09/11/2010;11481.3564453125;11629.694383882428;11377.519888313549;11629.694383882428;12801650
10/11/2010;11718.6962890625;11718.6962890625;11496.189397498023;11570.358361352848;21088000
11/11/2010;11377.521484375;11852.202954388038;11377.521484375;11763.200178760593;44525300
12/11/2010;11540.689453125;11718.694945975258;11466.520497770727;11629.692199550129;28325650
15/11/2010;11985.705078125;12089.541632019647;11644.527829614015;11659.361623027537;35892450
16/11/2010;12030.20703125;12163.711178329222;11867.03529593095;12074.70841360974;29475050
17/11/2010;11792.86328125;11926.367393867926;11792.86328125;11881.866022995284;17123100
18/11/2010;11852.2041015625;11941.20688580452;11763.201317320478;11822.536506815159;13296000
19/11/2010;12134.044921875;12148.878717623014;11867.036598410758;11985.706964394865;19355150
22/11/2010;12579.056640625;12579.056640625;12134.042844376474;12163.710430793042;36057400
23/11/2010;12460.3876953125;12623.559438941593;12371.384926060267;12608.72564406622;18280200
24/11/2010;12623.5595703125;12638.393365342245;12237.880899539145;12252.71469456889;31792000
25/11/2010;12534.5546875;12653.225027736686;12430.7181397929;12653.225027736686;18359500
26/11/2010;12415.888671875;12593.894244231631;12341.71968339307;12579.060446535244;15679300
29/11/2010;12401.0546875;12549.392662230863;12326.88570013457;12386.220890026914;15401050
30/11/2010;12252.716796875;12549.392748373182;12252.716796875;12341.719582324455;21205500
01/12/2010;12163.71484375;12282.385232469513;12074.712052210367;12223.050038109755;18777150
02/12/2010;12742.23046875;12742.23046875;12237.881416436263;12282.382803405122;30608400
03/12/2010;13261.4130859375;13305.914472131923;12860.900610187711;12905.401996382132;39373850
06/12/2010;13202.076171875;13335.580312938904;13127.907204617275;13202.076171875;16837550
07/12/2010;13365.2451171875;13661.920924450264;13127.90447137729;13157.572052103566;24906050
08/12/2010;13172.41015625;13498.75365111205;13157.576361028998;13394.917084565035;16803250
09/12/2010;13602.591796875;13617.425593818158;13113.076497750817;13127.910294693975;29422050
10/12/2010;13632.25390625;13632.25390625;13454.248414547063;13572.91874234902;12757050
13/12/2010;13795.42578125;13825.093363575268;13587.752704973118;13632.254078461021;15359300
14/12/2010;13780.59375;13899.264094456405;13661.923405543595;13899.264094456405;22126100
15/12/2010;13587.7548828125;13721.259024674195;13498.75212157137;13721.259024674195;16449400
16/12/2010;13513.587890625;13632.258256294594;13469.086503498902;13469.086503498902;11684200
17/12/2010;13736.095703125;13780.597093091927;13528.422549946004;13558.090143257288;17297200
20/12/2010;13825.095703125;13825.095703125;13558.087417013145;13602.588798031788;16911750
21/12/2010;13884.4326171875;13943.767799312234;13721.260866344484;13810.263639531584;12599300
22/12/2010;13928.9326171875;14136.605733950679;13884.431235023962;13928.9326171875;16626800
23/12/2010;13884.4326171875;13914.100208249867;13721.260866344484;13884.4326171875;10985500
24/12/2010;13721.2568359375;13928.92991237331;13721.2568359375;13928.92991237331;8471650
27/12/2010;13676.7578125;13795.42816228308;13572.921256439806;13721.259193668657;10524200
28/12/2010;13914.1015625;14092.10712619936;13736.09599880064;13765.763592750534;15650700
29/12/2010;14093.056640625;14182.536365327382;13899.183903769841;13943.923766121032;11918900
30/12/2010;14152.7099609375;14197.449823827714;14048.316947527002;14048.316947527002;9181500
03/01/2011;14286.93359375;14406.239928562109;14167.627258937891;14242.19371819546;13241050
04/01/2011;14286.93359375;14331.673469304542;14152.713967086378;14257.107010046973;13713100
05/01/2011;14048.31640625;14242.18913797107;14048.31640625;14242.18913797107;16787500
06/01/2011;13869.3603515625;14152.71287487399;13764.967316658265;14048.319839969758;19360400
07/01/2011;13735.140625;13854.446949647123;13630.747590933768;13645.66088151466;23139800
10/01/2011;13675.4873046875;13839.533499182116;13556.180981418689;13690.400595096102;18326750
11/01/2011;13615.83984375;13750.059513622673;13541.273360487405;13675.493030360078;19550800
12/01/2011;13869.3603515625;13914.100223664314;13630.747700352822;13630.747700352822;20555800
13/01/2011;13750.0556640625;14152.714560949364;13675.489201676044;14152.714560949364;28239850
14/01/2011;13914.099609375;13929.012899417201;13645.660388615353;13839.533159163986;15382350
17/01/2011;14152.7099609375;14182.536536197644;14018.49037226686;14093.056810417216;20582100
18/01/2011;14450.9794921875;14629.938990542763;14152.713661595395;14167.626953125;29631350
19/01/2011;14868.5546875;14913.29457121364;14406.242555792376;14600.115385218154;33343200
20/01/2011;14644.8505859375;14764.156904356543;14600.11071653036;14719.417034949403;15244400
21/01/2011;14480.8046875;14674.677458805356;14465.891397399588;14555.37113800206;16666400
24/01/2011;14480.8046875;14659.764168704944;14406.23823699794;14436.064817198765;13609350
25/01/2011;14540.4599609375;14764.159344951922;14480.806791866986;14495.720084134615;13970550
26/01/2011;14883.4619140625;14898.375202553545;14615.022721223697;14689.58916367892;13352500
27/01/2011;14823.810546875;14943.116869183854;14779.07067600918;14838.723837163607;15367000
28/01/2011;15062.421875;15122.075030940594;14764.156095297029;14883.462407178216;19118950
31/01/2011;14629.939453125;15062.424921158257;14629.939453125;15047.51162915711;21411900
01/02/2011;14659.7626953125;14838.722158530963;14600.109540906346;14644.84940671096;13468450
07/02/2011;14495.7177734375;14972.943049929268;14495.7177734375;14943.116470148534;24252200
08/02/2011;14331.67578125;14525.548606594693;14301.849192735433;14465.895429565557;30483500
09/02/2011;14316.755859375;14510.628594970703;14182.53627319336;14510.628594970703;20984650
10/02/2011;13958.8447265625;14391.33030035557;13943.931430914463;14316.763822115385;30669300
11/02/2011;13645.658203125;14063.230257428278;13615.831627817623;13943.92395619877;26489900
14/02/2011;14212.3681640625;14242.19474992622;13794.795961970422;13839.535840766002;19565800
15/02/2011;14286.93359375;14465.893095968164;14122.887383383351;14361.500053007569;18105800
16/02/2011;14093.056640625;14465.88882688492;14093.056640625;14197.44965277778;15182650
17/02/2011;14227.27734375;14361.496941332547;14063.231168926886;14212.364055129716;14348550
18/02/2011;14316.755859375;14406.235583496094;14272.015997314453;14391.322296142578;10253850
21/02/2011;14137.796875;14391.322768328058;14048.317147943037;14376.409480485232;13750850
22/02/2011;13988.66796875;14137.800889525586;13929.014800439765;14003.58126082756;12181550
23/02/2011;13869.3603515625;14033.406549269152;13794.793898059475;13794.793898059475;17193000
24/02/2011;13854.443359375;13929.009792956134;13720.223778928956;13809.703499226318;18110900
25/02/2011;13809.703125;13914.096129184665;13764.963266063716;13839.529697624192;15181200
28/02/2011;13764.96875;13929.014964788732;13720.228873239437;13720.228873239437;16274800
02/03/2011;13690.40234375;13764.968805317267;13600.922589869282;13630.749174496188;16134300
03/03/2011;13764.96875;13824.621919014084;13660.575704225352;13705.315580985914;18074200
04/03/2011;14093.056640625;14093.056640625;13824.617466517857;13929.010478670636;18569150
07/03/2011;13511.4404296875;14063.232147014694;13511.4404296875;14063.232147014694;31883600
08/03/2011;13407.0517578125;13600.92458634594;13332.48528529964;13586.011291843368;24905400
